category,word
racist,Ringo
racist,Sassenach
racist,Soutpiel
racist,Chukcha
racist,Cube
racist,Harpoon-Chucker
racist,Huskie
racist,Klondyke
racist,Mo
racist,Muck
racist,Muk
racist,Muktuk
racist,Pie Face
racist,Skimo
racist,Snow Chink
racist,Snow Nigger
racist,Snowblower
racist,Buk-Buk
racist,Fili Cheese Steak
racist,Filthy Pino
racist,Fligga
racist,Fligger
racist,Flip
racist,Huk
racist,LBFM
racist,Little Brown Buddy
racist,Mail-order Bride
racist,Pineapple
racist,Rag
racist,Seagull
racist,Tailless Monkeys
racist,TNT
racist,Langostina
racist,Tinkerbell
racist,Gyppo
racist,Saeedi
racist,Finne
racist,Ice Monkey
racist,Pekka
racist,Poro
racist,Russian Swede
racist,Albino Peltonen
racist,Bic-Needer
racist,Blackfoot
racist,Butterfingers
racist,Crapaud
racist,Crouton
racist,Frog
racist,Fur Licker
racist,Kermit
racist,Rifle-Dropper
racist,Six-Weeker
racist,Snail-Snapper
racist,Soap Dodger
racist,Surrender Monkeys
racist,Tad Pole
racist,Toad
racist,Turtleneck
racist,Whiteflagger
racist,Clouf-Booter
racist,Beaver-Beater
racist,Frozen Frog
racist,Peasouper
racist,Pepper
racist,Pepsi
racist,Poutine
racist,Queeb
racist,Snowfrogs
racist,Autobahn
racist,Adolf
racist,Bazi
racist,Blockhead
racist,Boche
racist,Bosch
racist,Boxhead
racist,Fischkopf
racist,Fritz
racist,Germ
racist,Grout
racist,Hans Bitterman
racist,Heinee
racist,Herm
racist,Hitler
racist,Hun
racist,Jam Bun
racist,Jerry
racist,Jew Burner
racist,Jew Killer
racist,Kaiser
racist,Kartoffel
racist,Kossy
racist,Kraftwerk
racist,Kraut
racist,Mof
